Game_ID,Platform,Sales_Rank,Region,Region_Sales
1000,Wii,1,Global,82.74
1000,Wii,1,NA,41.49
1000,Wii,1,EU,29.02
1000,Wii,1,JP,3.77
1000,Wii,1,Other,8.46
1001,NES,2,Global,40.24
1001,NES,2,NA,29.08
1001,NES,2,EU,3.58
1001,NES,2,JP,6.81
1001,NES,2,Other,0.77
1002,Wii,3,Global,35.82
1002,Wii,3,NA,15.85
1002,Wii,3,EU,12.88
1002,Wii,3,JP,3.79
1002,Wii,3,Other,3.31
1003,Wii,4,Global,33.0
1003,Wii,4,NA,15.75
1003,Wii,4,EU,11.01
1003,Wii,4,JP,3.28
1003,Wii,4,Other,2.96
1004,GB,5,Global,31.37
1004,GB,5,NA,11.27
1004,GB,5,EU,8.89
1004,GB,5,JP,10.22
1004,GB,5,Other,1.0
1005,GB,6,Global,30.26
1005,GB,6,NA,23.2
1005,GB,6,EU,2.26
1005,GB,6,JP,4.22
1005,GB,6,Other,0.58
1006,DS,7,Global,30.01
1006,DS,7,NA,11.38
1006,DS,7,EU,9.23
1006,DS,7,JP,6.5
1006,DS,7,Other,2.9
1007,Wii,8,Global,29.02
1007,Wii,8,NA,14.03
1007,Wii,8,EU,9.2
1007,Wii,8,JP,2.93
1007,Wii,8,Other,2.85
1008,Wii,9,Global,28.62
1008,Wii,9,NA,14.59
1008,Wii,9,EU,7.06
1008,Wii,9,JP,4.7
1008,Wii,9,Other,2.26
1009,NES,10,Global,28.31
1009,NES,10,NA,26.93
1009,NES,10,EU,0.63
1009,NES,10,JP,0.28
1009,NES,10,Other,0.47
1010,DS,11,Global,24.76
1010,DS,11,NA,9.07
1010,DS,11,EU,11.0
1010,DS,11,JP,1.93
1010,DS,11,Other,2.75
1011,DS,12,Global,23.42
1011,DS,12,NA,9.81
1011,DS,12,EU,7.57
1011,DS,12,JP,4.13
1011,DS,12,Other,1.92
1012,GB,13,Global,23.1
1012,GB,13,NA,9.0
1012,GB,13,EU,6.18
1012,GB,13,JP,7.2
1012,GB,13,Other,0.71
1013,Wii,14,Global,22.72
1013,Wii,14,NA,8.94
1013,Wii,14,EU,8.03
1013,Wii,14,JP,3.6
1013,Wii,14,Other,2.15
1014,Wii,15,Global,22.0
1014,Wii,15,NA,9.09
1014,Wii,15,EU,8.59
1014,Wii,15,JP,2.53
1014,Wii,15,Other,1.79
1015,X360,16,Global,21.82
1015,X360,16,NA,14.97
1015,X360,16,EU,4.94
1015,X360,16,JP,0.24
1015,X360,16,Other,1.67
1016,PS3,17,Global,21.4
1016,PS3,17,NA,7.01
1016,PS3,17,EU,9.27
1016,PS3,17,JP,0.97
1016,PS3,17,Other,4.14
1017,PS2,18,Global,20.81
1017,PS2,18,NA,9.43
1017,PS2,18,EU,0.4
1017,PS2,18,JP,0.41
1017,PS2,18,Other,10.57
1018,SNES,19,Global,20.61
1018,SNES,19,NA,12.78
1018,SNES,19,EU,3.75
1018,SNES,19,JP,3.54
1018,SNES,19,Other,0.55
1019,DS,20,Global,20.22
1019,DS,20,NA,4.75
1019,DS,20,EU,9.26
1019,DS,20,JP,4.16
1019,DS,20,Other,2.05
1020,DS,21,Global,18.36
1020,DS,21,NA,6.42
1020,DS,21,EU,4.52
1020,DS,21,JP,6.04
1020,DS,21,Other,1.37
1021,GB,22,Global,18.14
1021,GB,22,NA,10.83
1021,GB,22,EU,2.71
1021,GB,22,JP,4.18
1021,GB,22,Other,0.42
1022,NES,23,Global,17.28
1022,NES,23,NA,9.54
1022,NES,23,EU,3.44
1022,NES,23,JP,3.84
1022,NES,23,Other,0.46
1023,X360,24,Global,16.38
1023,X360,24,NA,9.63
1023,X360,24,EU,5.31
1023,X360,24,JP,0.06
1023,X360,24,Other,1.38
1024,PS2,25,Global,16.15
1024,PS2,25,NA,8.41
1024,PS2,25,EU,5.49
1024,PS2,25,JP,0.47
1024,PS2,25,Other,1.78
1025,GBA,26,Global,15.85
1025,GBA,26,NA,6.06
1025,GBA,26,EU,3.9
1025,GBA,26,JP,5.38
1025,GBA,26,Other,0.5
1026,DS,27,Global,15.32
1026,DS,27,NA,5.57
1026,DS,27,EU,3.28
1026,DS,27,JP,5.65
1026,DS,27,Other,0.82
1027,DS,28,Global,15.3
1027,DS,28,NA,3.44
1027,DS,28,EU,5.36
1027,DS,28,JP,5.32
1027,DS,28,Other,1.18
1028,PS2,29,Global,14.98
1028,PS2,29,NA,6.85
1028,PS2,29,EU,5.09
1028,PS2,29,JP,1.87
1028,PS2,29,Other,1.16
1029,X360,30,Global,14.76
1029,X360,30,NA,9.03
1029,X360,30,EU,4.28
1029,X360,30,JP,0.13
1029,X360,30,Other,1.32
1030,GB,31,Global,14.64
1030,GB,31,NA,5.89
1030,GB,31,EU,5.04
1030,GB,31,JP,3.12
1030,GB,31,Other,0.59
1031,X360,32,Global,14.64
1031,X360,32,NA,9.67
1031,X360,32,EU,3.73
1031,X360,32,JP,0.11
1031,X360,32,Other,1.13
1032,3DS,33,Global,14.35
1032,3DS,33,NA,5.17
1032,3DS,33,EU,4.05
1032,3DS,33,JP,4.34
1032,3DS,33,Other,0.79
1033,PS4,34,Global,14.24
1033,PS4,34,NA,5.77
1033,PS4,34,EU,5.81
1033,PS4,34,JP,0.35
1033,PS4,34,Other,2.31
1034,PS3,35,Global,14.03
1034,PS3,35,NA,4.99
1034,PS3,35,EU,5.88
1034,PS3,35,JP,0.65
1034,PS3,35,Other,2.52
1035,X360,36,Global,13.73
1035,X360,36,NA,8.25
1035,X360,36,EU,4.3
1035,X360,36,JP,0.07
1035,X360,36,Other,1.12
1036,X360,37,Global,13.51
1036,X360,37,NA,8.52
1036,X360,37,EU,3.63
1036,X360,37,JP,0.08
1036,X360,37,Other,1.29
1037,PS3,38,Global,13.46
1037,PS3,38,NA,5.54
1037,PS3,38,EU,5.82
1037,PS3,38,JP,0.49
1037,PS3,38,Other,1.62
1038,PS2,39,Global,13.1
1038,PS2,39,NA,6.99
1038,PS2,39,EU,4.51
1038,PS2,39,JP,0.3
1038,PS2,39,Other,1.3
1039,Wii,40,Global,13.04
1039,Wii,40,NA,6.75
1039,Wii,40,EU,2.61
1039,Wii,40,JP,2.66
1039,Wii,40,Other,1.02
1040,PS3,41,Global,12.73
1040,PS3,41,NA,5.98
1040,PS3,41,EU,4.44
1040,PS3,41,JP,0.48
1040,PS3,41,Other,1.83
1041,DS,42,Global,12.27
1041,DS,42,NA,2.55
1041,DS,42,EU,3.52
1041,DS,42,JP,5.33
1041,DS,42,Other,0.88
1042,3DS,43,Global,12.21
1042,3DS,43,NA,4.74
1042,3DS,43,EU,3.91
1042,3DS,43,JP,2.67
1042,3DS,43,Other,0.89
1043,X360,44,Global,12.14
1043,X360,44,NA,7.97
1043,X360,44,EU,2.83
1043,X360,44,JP,0.13
1043,X360,44,Other,1.21
1044,PS4,45,Global,11.98
1044,PS4,45,NA,3.8
1044,PS4,45,EU,5.81
1044,PS4,45,JP,0.36
1044,PS4,45,Other,2.02
1045,DS,46,Global,11.9
1045,DS,46,NA,4.4
1045,DS,46,EU,2.77
1045,DS,46,JP,3.96
1045,DS,46,Other,0.77
1046,N64,47,Global,11.89
1046,N64,47,NA,6.91
1046,N64,47,EU,2.85
1046,N64,47,JP,1.91
1046,N64,47,Other,0.23
1047,PS2,48,Global,11.66
1047,PS2,48,NA,3.01
1047,PS2,48,EU,0.01
1047,PS2,48,JP,1.1
1047,PS2,48,Other,7.53
1048,Wii,49,Global,11.52
1048,Wii,49,NA,6.16
1048,Wii,49,EU,3.4
1048,Wii,49,JP,1.2
1048,Wii,49,Other,0.76
1049,3DS,50,Global,11.33
1049,3DS,50,NA,4.23
1049,3DS,50,EU,3.37
1049,3DS,50,JP,3.08
1049,3DS,50,Other,0.65
1050,GB,51,Global,11.18
1050,GB,51,NA,6.16
1050,GB,51,EU,2.04
1050,GB,51,JP,2.69
1050,GB,51,Other,0.29
1051,X360,52,Global,11.02
1051,X360,52,NA,6.76
1051,X360,52,EU,3.1
1051,X360,52,JP,0.14
1051,X360,52,Other,1.03
1052,PS,53,Global,10.95
1052,PS,53,NA,4.02
1052,PS,53,EU,3.87
1052,PS,53,JP,2.54
1052,PS,53,Other,0.52
1053,3DS,54,Global,10.79
1053,3DS,54,NA,4.89
1053,3DS,54,EU,2.99
1053,3DS,54,JP,2.13
1053,3DS,54,Other,0.78
1054,PS3,55,Global,10.77
1054,PS3,55,NA,2.96
1054,PS3,55,EU,4.88
1054,PS3,55,JP,0.81
1054,PS3,55,Other,2.12
1055,PS3,56,Global,10.69
1055,PS3,56,NA,4.99
1055,PS3,56,EU,3.69
1055,PS3,56,JP,0.38
1055,PS3,56,Other,1.63
1056,PS3,57,Global,10.57
1056,PS3,57,NA,4.76
1056,PS3,57,EU,3.76
1056,PS3,57,JP,0.44
1056,PS3,57,Other,1.62
1057,SNES,58,Global,10.55
1057,SNES,58,NA,5.99
1057,SNES,58,EU,2.15
1057,SNES,58,JP,2.12
1057,SNES,58,Other,0.29
1058,GBA,59,Global,10.49
1058,GBA,59,NA,4.34
1058,GBA,59,EU,2.65
