Game_ID,Game_Spec_ID,Genre,Prev_Price,Cur_Price
1000,10000,Sports,50.45,8.41
1001,10001,Platform,46.73,10.42
1002,10002,Racing,62.49,14.06
1003,10003,Sports,48.77,34.35
1004,10004,Role-Playing,30.13,3.57
1005,10005,Puzzle,30.74,15.36
1006,10006,Platform,52.46,21.31
1007,10007,Misc,44.24,16.52
1008,10008,Platform,60.83,11.25
1009,10009,Shooter,43.48,28.56
1010,10010,Simulation,55.54,15.44
1011,10011,Racing,50.38,34.11
1012,10012,Role-Playing,49.2,6.85
1013,10013,Sports,54.08,26.55
1014,10014,Sports,57.94,30.69
1015,10015,Misc,48.78,5.01
1016,10016,Action,56.55,24.73
1017,10017,Action,46.31,7.19
1018,10018,Platform,34.03,21.05
1019,10019,Misc,42.13,4.58
1020,10020,Role-Playing,67.97,16.56
1021,10021,Platform,47.72,28.33
1022,10022,Platform,48.95,27.35
1023,10023,Action,45.42,37.01
1024,10024,Action,34.47,17.53
1025,10025,Role-Playing,45.36,24.19
1026,10026,Role-Playing,42.82,20.05
1027,10027,Puzzle,63.24,33.92
1028,10028,Racing,44.35,6.68
1029,10029,Shooter,49.85,25.52
1030,10030,Role-Playing,33.79,23.91
1031,10031,Shooter,59.45,27.59
1032,10032,Role-Playing,51.39,38.69
1033,10033,Shooter,65.37,26.12
1034,10034,Shooter,59.84,25.99
1035,10035,Shooter,59.74,36.23
1036,10036,Shooter,42.49,1.14
1037,10037,Shooter,47.37,27.65
1038,10038,Action,44.86,14.84
1039,10039,Fighting,62.33,20.02
1040,10040,Shooter,46.68,8.45
1041,10041,Simulation,44.29,1.69
1042,10042,Racing,41.78,35.51
1043,10043,Shooter,54.85,39.29
1044,10044,Action,57.71,6.59
1045,10045,Action,47.84,2.68
1046,10046,Platform,31.41,23.41
1047,10047,Racing,49.28,11.04
1048,10048,Platform,45.12,7.96
1049,10049,Role-Playing,62.72,30.76
1050,10050,Adventure,47.38,2.08
1051,10051,Action,44.06,18.98
1052,10052,Racing,39.17,11.77
1053,10053,Platform,40.9,23.48
1054,10054,Racing,64.55,19.57
1055,10055,Shooter,62.69,21.57
1056,10056,Action,44.97,32.02
1057,10057,Platform,42.56,5.5
1058,10058,Role-Playing,30.69,3.59
1059,10059,Platform,38.54,18.29
1060,10060,Misc,66.1,19.71
1061,10061,Shooter,58.13,13.04
1062,10062,Shooter,54.38,26.99
1063,10063,Racing,35.96,22.09
1064,10064,Platform,40.82,6.81
1065,10065,Shooter,64.97,6.06
1066,10066,Role-Playing,43.33,7.04
1067,10067,Shooter,65.25,27.2
1068,10068,Misc,48.85,31.38
1069,10069,Racing,32.84,21.52
1070,10070,Shooter,60.09,6.11
1071,10071,Platform,38.99,27.61
1072,10072,Misc,63.51,33.32
1073,10073,Simulation,43.68,18.37
1074,10074,Misc,52.97,29.48
1075,10075,Role-Playing,43.67,3.33
1076,10076,Racing,38.2,3.77
1077,10077,Sports,51.93,30.42
1078,10078,Misc,69.52,33.95
1079,10079,Shooter,39.22,23.83
1080,10080,Misc,65.93,31.72
1081,10081,Role-Playing,66.79,1.85
1082,10082,Action,44.96,1.78
1083,10083,Simulation,45.76,27.73
1084,10084,Shooter,47.06,2.79
1085,10085,Sports,50.15,25.65
1086,10086,Role-Playing,38.47,8.57
1087,10087,Role-Playing,34.02,29.81
1088,10088,Role-Playing,56.81,26.02
1089,10089,Puzzle,31.37,4.95
1090,10090,Action,62.8,32.32
1091,10091,Platform,60.08,35.14
1092,10092,Shooter,60.75,21.25
1093,10093,Shooter,62.49,2.88
1094,10094,Action,45.91,22.87
1095,10095,Platform,44.94,26.54
1096,10096,Platform,40.24,29.57
1097,10097,Fighting,41.08,12.49
1098,10098,Shooter,68.64,28.86
1099,10099,Shooter,44.62,37.97
