Game_ID,Game_Name,Release_Year,Publisher_Name
1000,Wii Sports,2006.0,Nintendo
1001,Super Mario Bros.,1985.0,Nintendo
1002,Mario Kart Wii,2008.0,Nintendo
1003,Wii Sports Resort,2009.0,Nintendo
1004,Pokemon Red/Pokemon Blue,1996.0,Nintendo
1005,Tetris,1989.0,Nintendo
1006,New Super Mario Bros.,2006.0,Nintendo
1007,Wii Play,2006.0,Nintendo
1008,New Super Mario Bros. Wii,2009.0,Nintendo
1009,Duck Hunt,1984.0,Nintendo
1010,Nintendogs,2005.0,Nintendo
1011,Mario Kart DS,2005.0,Nintendo
1012,Pokemon Gold/Pokemon Silver,1999.0,Nintendo
1013,Wii Fit,2007.0,Nintendo
1014,Wii Fit Plus,2009.0,Nintendo
1015,Kinect Adventures!,2010.0,Microsoft Game Studios
1016,Grand Theft Auto V,2013.0,Take-Two Interactive
1017,Grand Theft Auto: San Andreas,2004.0,Take-Two Interactive
1018,Super Mario World,1990.0,Nintendo
1019,Brain Age: Train Your Brain in Minutes a Day,2005.0,Nintendo
1020,Pokemon Diamond/Pokemon Pearl,2006.0,Nintendo
1021,Super Mario Land,1989.0,Nintendo
1022,Super Mario Bros. 3,1988.0,Nintendo
1023,Grand Theft Auto V,2013.0,Take-Two Interactive
1024,Grand Theft Auto: Vice City,2002.0,Take-Two Interactive
1025,Pokemon Ruby/Pokemon Sapphire,2002.0,Nintendo
1026,Pokemon Black/Pokemon White,2010.0,Nintendo
1027,Brain Age 2: More Training in Minutes a Day,2005.0,Nintendo
1028,Gran Turismo 3: A-Spec,2001.0,Sony Computer Entertainment
1029,Call of Duty: Modern Warfare 3,2011.0,Activision
1030,Pokémon Yellow: Special Pikachu Edition,1998.0,Nintendo
1031,Call of Duty: Black Ops,2010.0,Activision
1032,Pokemon X/Pokemon Y,2013.0,Nintendo
1033,Call of Duty: Black Ops 3,2015.0,Activision
1034,Call of Duty: Black Ops II,2012.0,Activision
1035,Call of Duty: Black Ops II,2012.0,Activision
1036,Call of Duty: Modern Warfare 2,2009.0,Activision
1037,Call of Duty: Modern Warfare 3,2011.0,Activision
1038,Grand Theft Auto III,2001.0,Take-Two Interactive
1039,Super Smash Bros. Brawl,2008.0,Nintendo
1040,Call of Duty: Black Ops,2010.0,Activision
1041,Animal Crossing: Wild World,2005.0,Nintendo
1042,Mario Kart 7,2011.0,Nintendo
1043,Halo 3,2007.0,Microsoft Game Studios
1044,Grand Theft Auto V,2014.0,Take-Two Interactive
1045,Pokemon HeartGold/Pokemon SoulSilver,2009.0,Nintendo
1046,Super Mario 64,1996.0,Nintendo
1047,Gran Turismo 4,2004.0,Sony Computer Entertainment
1048,Super Mario Galaxy,2007.0,Nintendo
1049,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014.0,Nintendo
1050,Super Mario Land 2: 6 Golden Coins,1992.0,Nintendo
1051,Grand Theft Auto IV,2008.0,Take-Two Interactive
1052,Gran Turismo,1997.0,Sony Computer Entertainment
1053,Super Mario 3D Land,2011.0,Nintendo
1054,Gran Turismo 5,2010.0,Sony Computer Entertainment
1055,Call of Duty: Modern Warfare 2,2009.0,Activision
1056,Grand Theft Auto IV,2008.0,Take-Two Interactive
1057,Super Mario All-Stars,1993.0,Nintendo
1058,Pokemon FireRed/Pokemon LeafGreen,2004.0,Nintendo
1059,Super Mario 64,2004.0,Nintendo
1060,Just Dance 3,2011.0,Ubisoft
1061,Call of Duty: Ghosts,2013.0,Activision
1062,Halo: Reach,2010.0,Microsoft Game Studios
1063,Mario Kart 64,1996.0,Nintendo
1064,New Super Mario Bros. 2,2012.0,Nintendo
1065,Halo 4,2012.0,Microsoft Game Studios
1066,Final Fantasy VII,1997.0,Sony Computer Entertainment
1067,Call of Duty: Ghosts,2013.0,Activision
1068,Just Dance 2,2010.0,Ubisoft
1069,Gran Turismo 2,1999.0,Sony Computer Entertainment
1070,Call of Duty 4: Modern Warfare,2007.0,Activision
1071,Donkey Kong Country,1994.0,Nintendo
1072,Minecraft,2013.0,Microsoft Game Studios
1073,Animal Crossing: New Leaf,2012.0,Nintendo
1074,Mario Party DS,2007.0,Nintendo
1075,The Elder Scrolls V: Skyrim,2011.0,Bethesda Softworks
1076,Super Mario Kart,1992.0,Nintendo
1077,FIFA 16,2015.0,Electronic Arts
1078,Wii Party,2010.0,Nintendo
1079,Halo 2,2004.0,Microsoft Game Studios
1080,Mario Party 8,2007.0,Nintendo
1081,Pokemon Black 2/Pokemon White 2,2012.0,Nintendo
1082,FIFA Soccer 13,2012.0,Electronic Arts
1083,The Sims 3,2009.0,Electronic Arts
1084,GoldenEye 007,1997.0,Nintendo
1085,Mario & Sonic at the Olympic Games,2007.0,Sega
1086,Final Fantasy X,2001.0,Sony Computer Entertainment
1087,Final Fantasy VIII,1999.0,SquareSoft
1088,Pokémon Platinum Version,2008.0,Nintendo
1089,Pac-Man,1982.0,Atari
1090,Grand Theft Auto: Liberty City Stories,2005.0,Take-Two Interactive
1091,Super Mario Galaxy 2,2010.0,Nintendo
1092,Star Wars Battlefront (2015),2015.0,Electronic Arts
1093,Call of Duty: Advanced Warfare,2014.0,Activision
1094,The Legend of Zelda: Ocarina of Time,1998.0,Nintendo
1095,Crash Bandicoot 2: Cortex Strikes Back,1997.0,Sony Computer Entertainment
1096,Super Mario Bros. 2,1988.0,Nintendo
1097,Super Smash Bros. for Wii U and 3DS,2014.0,Nintendo
1098,Call of Duty: World at War,2008.0,Activision
1099,Battlefield 3,2011.0,Electronic Arts
1100,The Legend of Zelda: Twilight Princess,2006.0,Nintendo
